item_id,timestamp,demand
item_001,2017-10-01,305.82494302732607
item_002,2017-10-01,273.8428721521876
item_003,2017-10-01,322.91928360349203
item_004,2017-10-01,272.553473799929
item_005,2017-10-01,271.672172651166
item_006,2017-10-01,259.80071996930513
item_007,2017-10-01,343.6456473704638
item_008,2017-10-01,293.09624241102705
item_009,2017-10-01,203.6980469697094
item_010,2017-10-01,293.7535706599366
item_011,2017-10-01,367.82234479101305
item_012,2017-10-01,379.998202936321
item_013,2017-10-01,227.08802393191976
item_014,2017-10-01,287.9409200851882
item_015,2017-10-01,299.3978871179892
item_016,2017-10-01,320.3406649378082
item_017,2017-10-01,268.0184640996408
item_018,2017-10-01,349.5776120762596
item_019,2017-10-01,327.67471520555256
item_020,2017-10-01,251.7824438236428
item_021,2017-10-01,303.4283946262737
item_022,2017-10-01,313.0969363168994
item_023,2017-10-01,301.5315174772676
item_024,2017-10-01,442.7979843494541
item_025,2017-10-01,251.63998972185368
item_026,2017-10-01,322.3656164292411
item_027,2017-10-01,266.71313505776027
item_028,2017-10-01,216.1228438328954
item_029,2017-10-01,207.3151298661704
item_030,2017-10-01,295.98168332208667
item_031,2017-10-01,289.72651193526667
item_032,2017-10-01,363.3109681129865
item_033,2017-10-01,222.6601996312863
item_034,2017-10-01,363.5710556422959
item_035,2017-10-01,262.14315076528413
item_036,2017-10-01,302.89649297658826
item_037,2017-10-01,317.3240388035361
item_038,2017-10-01,270.3196702150454
item_039,2017-10-01,374.8743550419546
item_040,2017-10-01,318.4879900282589
item_041,2017-10-01,299.11740750562524
item_042,2017-10-01,374.5881323733422
item_043,2017-10-01,227.62447619359236
item_044,2017-10-01,300.62363129638726
item_045,2017-10-01,357.4309996082765
item_046,2017-10-01,337.7748842843646
item_047,2017-10-01,302.0274647286568
item_048,2017-10-01,315.7326834098767
item_049,2017-10-01,349.59155719683537
item_050,2017-10-01,255.7727342728921
item_051,2017-10-01,261.7468646131917
item_052,2017-10-01,283.77555880237014
item_053,2017-10-01,282.7894948848362
item_054,2017-10-01,339.9416109756264
item_055,2017-10-01,397.4879667152837
item_056,2017-10-01,204.96082356932536
item_057,2017-10-01,309.6118185157647
item_058,2017-10-01,297.1296499932172
item_059,2017-10-01,207.4841874569018
item_060,2017-10-01,375.9151309162304
item_061,2017-10-01,318.0018504753008
item_062,2017-10-01,212.29642436618764
item_063,2017-10-01,317.18166639029675
item_064,2017-10-01,323.2722566225656
item_065,2017-10-01,356.42893384461854
item_066,2017-10-01,473.3179194269656
item_067,2017-10-01,281.36216267473293
item_068,2017-10-01,235.7184576847829
item_069,2017-10-01,342.3565134941898
item_070,2017-10-01,281.78358914106866
item_071,2017-10-01,343.2477246108322
item_072,2017-10-01,310.1256454738043
item_073,2017-10-01,330.821973191346
item_074,2017-10-01,278.3073518664211
item_075,2017-10-01,300.04795310364653
item_076,2017-10-01,311.05219333005084
item_077,2017-10-01,327.9234318654947
item_078,2017-10-01,325.80512004355427
item_079,2017-10-01,303.6626794628303
item_080,2017-10-01,330.7145030199266
item_081,2017-10-01,452.239361188776
item_082,2017-10-01,406.53384986716367
item_083,2017-10-01,281.1353391837029
item_084,2017-10-01,269.56756541001863
item_085,2017-10-01,385.4343037867029
item_086,2017-10-01,324.445415299593
item_087,2017-10-01,249.8259343352536
